language1,language2,common_actors
JavaScript,JavaScript,80268
JavaScript,Python,4863
JavaScript,Java,3660
JavaScript,HTML,9322
JavaScript,Ruby,3175
JavaScript,PHP,3017
JavaScript,C++,1193
JavaScript,Go,1322
JavaScript,CSS,5720
JavaScript,C#,1225
JavaScript,TypeScript,2739
JavaScript,C,825
JavaScript,Shell,2090
JavaScript,Scala,295
JavaScript,Swift,390
Python,JavaScript,4863
Python,Python,46859
Python,Java,1939
Python,HTML,3264
Python,Ruby,1184
Python,PHP,873
Python,C++,1946
Python,Go,1154
Python,CSS,1704
Python,C#,481
Python,TypeScript,467
Python,C,1437
Python,Shell,2552
Python,Scala,222
Python,Swift,169
Java,JavaScript,3660
Java,Python,1939
Java,Java,44057
Java,HTML,2300
Java,Ruby,722
Java,PHP,677
Java,C++,826
Java,Go,554
Java,CSS,1090
Java,C#,573
Java,TypeScript,631
Java,C,633
Java,Shell,1320
Java,Scala,357
Java,Swift,268
HTML,JavaScript,9322
HTML,Python,3264
HTML,Java,2300
HTML,HTML,41524
HTML,Ruby,2095
HTML,PHP,1672
HTML,C++,738
HTML,Go,694
HTML,CSS,4479
HTML,C#,555
HTML,TypeScript,945
HTML,C,567
HTML,Shell,1319
HTML,Scala,210
HTML,Swift,184
Ruby,JavaScript,3175
Ruby,Python,1184
Ruby,Java,722
Ruby,HTML,2095
Ruby,Ruby,20670
Ruby,PHP,446
Ruby,C++,257
Ruby,Go,623
Ruby,CSS,1255
Ruby,C#,178
Ruby,TypeScript,234
Ruby,C,299
Ruby,Shell,1003
Ruby,Scala,87
Ruby,Swift,167
PHP,JavaScript,3017
PHP,Python,873
PHP,Java,677
PHP,HTML,1672
PHP,Ruby,446
PHP,PHP,23118
PHP,C++,250
PHP,Go,281
PHP,CSS,1250
PHP,C#,264
PHP,TypeScript,265
PHP,C,227
PHP,Shell,639
PHP,Scala,24
PHP,Swift,71
C++,JavaScript,1193
C++,Python,1946
C++,Java,826
C++,HTML,738
C++,Ruby,257
C++,PHP,250
C++,C++,19056
C++,Go,283
C++,CSS,429
C++,C#,344
C++,TypeScript,148
C++,C,1512
C++,Shell,673
C++,Scala,60
C++,Swift,91
Go,JavaScript,1322
Go,Python,1154
Go,Java,554
Go,HTML,694
Go,Ruby,623
Go,PHP,281
Go,C++,283
Go,Go,10491
Go,CSS,396
Go,C#,122
Go,TypeScript,170
Go,C,352
Go,Shell,1052
Go,Scala,68
Go,Swift,55
CSS,JavaScript,5720
CSS,Python,1704
CSS,Java,1090
CSS,HTML,4479
CSS,Ruby,1255
CSS,PHP,1250
CSS,C++,429
CSS,Go,396
CSS,CSS,20609
CSS,C#,318
CSS,TypeScript,681
CSS,C,291
CSS,Shell,787
CSS,Scala,124
CSS,Swift,118
C#,JavaScript,1225
C#,Python,481
C#,Java,573
C#,HTML,555
C#,Ruby,178
C#,PHP,264
C#,C++,344
C#,Go,122
C#,CSS,318
C#,C#,15088
C#,TypeScript,393
C#,C,191
C#,Shell,163
C#,Scala,23
C#,Swift,51
TypeScript,JavaScript,2739
TypeScript,Python,467
TypeScript,Java,631
TypeScript,HTML,945
TypeScript,Ruby,234
TypeScript,PHP,265
TypeScript,C++,148
TypeScript,Go,170
TypeScript,CSS,681
TypeScript,C#,393
TypeScript,TypeScript,10084
TypeScript,C,84
TypeScript,Shell,267
TypeScript,Scala,52
TypeScript,Swift,52
C,JavaScript,825
C,Python,1437
C,Java,633
C,HTML,567
C,Ruby,299
C,PHP,227
C,C++,1512
C,Go,352
C,CSS,291
C,C#,191
C,TypeScript,84
C,C,13093
C,Shell,795
C,Scala,39
C,Swift,74
Shell,JavaScript,2090
Shell,Python,2552
Shell,Java,1320
Shell,HTML,1319
Shell,Ruby,1003
Shell,PHP,639
Shell,C++,673
Shell,Go,1052
Shell,CSS,787
Shell,C#,163
Shell,TypeScript,267
Shell,C,795
Shell,Shell,13555
Shell,Scala,167
Shell,Swift,97
Scala,JavaScript,295
Scala,Python,222
Scala,Java,357
Scala,HTML,210
Scala,Ruby,87
Scala,PHP,24
Scala,C++,60
Scala,Go,68
Scala,CSS,124
Scala,C#,23
Scala,TypeScript,52
Scala,C,39
Scala,Shell,167
Scala,Scala,3100
Scala,Swift,12
Swift,JavaScript,390
Swift,Python,169
Swift,Java,268
Swift,HTML,184
Swift,Ruby,167
Swift,PHP,71
Swift,C++,91
Swift,Go,55
Swift,CSS,118
Swift,C#,51
Swift,TypeScript,52
Swift,C,74
Swift,Shell,97
Swift,Scala,12
Swift,Swift,5059
