language,cohort,number_prs,actor.display_login
1C Enterprise,2017-08,96,18
1C Enterprise,2017-09,39,13
1C Enterprise,2017-10,64,18
ABAP,2017-08,39,10
ABAP,2017-09,29,10
ABAP,2017-10,77,12
AGS Script,2017-08,12,7
AGS Script,2017-09,22,10
AGS Script,2017-10,16,8
AMPL,2017-08,21,7
AMPL,2017-09,16,11
AMPL,2017-10,22,10
ANTLR,2017-08,41,10
ANTLR,2017-09,24,8
ANTLR,2017-10,23,7
API Blueprint,2017-08,157,35
API Blueprint,2017-09,125,31
API Blueprint,2017-10,96,26
APL,2017-08,4,4
APL,2017-09,13,5
APL,2017-10,25,6
ASP,2017-08,246,54
ASP,2017-09,134,53
ASP,2017-10,243,107
ATS,2017-10,1,1
ActionScript,2017-08,220,34
ActionScript,2017-09,111,33
ActionScript,2017-10,109,50
Ada,2017-08,27,10
Ada,2017-09,21,11
Ada,2017-10,46,11
Agda,2017-08,8,4
Agda,2017-09,5,4
Agda,2017-10,6,5
Alloy,2017-08,5,4
AngelScript,2017-10,36,7
ApacheConf,2017-08,194,80
ApacheConf,2017-09,202,79
ApacheConf,2017-10,160,67
Apex,2017-08,274,83
Apex,2017-09,268,66
Apex,2017-10,194,70
AppleScript,2017-08,3,2
AppleScript,2017-09,8,7
AppleScript,2017-10,25,10
Arc,2017-10,3,3
Arduino,2017-08,469,251
Arduino,2017-09,515,266
Arduino,2017-10,926,405
AspectJ,2017-08,3,1
AspectJ,2017-10,7,2
Assembly,2017-08,351,103
Assembly,2017-09,459,132
Assembly,2017-10,565,164
Augeas,2017-08,8,2
Augeas,2017-09,19,3
Augeas,2017-10,4,1
AutoHotkey,2017-08,29,18
AutoHotkey,2017-09,51,21
AutoHotkey,2017-10,50,21
AutoIt,2017-08,8,5
AutoIt,2017-09,20,7
AutoIt,2017-10,9,8
Awk,2017-08,5,4
Awk,2017-09,15,5
Awk,2017-10,9,8
Ballerina,2017-10,3,2
Batchfile,2017-08,407,133
Batchfile,2017-09,427,142
Batchfile,2017-10,680,174
BitBake,2017-08,209,83
BitBake,2017-09,188,61
BitBake,2017-10,212,66
BlitzBasic,2017-10,1,1
Brainfuck,2017-09,12,4
Brainfuck,2017-10,45,19
Brightscript,2017-08,8,6
Brightscript,2017-09,20,4
Brightscript,2017-10,15,4
Bro,2017-08,1,1
Bro,2017-09,7,6
Bro,2017-10,6,4
C,2017-08,18877,5344
C,2017-09,18999,5584
C,2017-10,24284,6799
C#,2017-08,26988,6226
C#,2017-09,27052,6601
C#,2017-10,34032,7832
C++,2017-08,35423,8151
C++,2017-09,33935,8450
C++,2017-10,45800,10197
CLIPS,2017-08,1,1
CLIPS,2017-09,11,5
CLIPS,2017-10,4,4
CMake,2017-08,722,237
CMake,2017-09,898,312
CMake,2017-10,1117,385
COBOL,2017-08,7,5
COBOL,2017-09,9,5
COBOL,2017-10,55,15
CSS,2017-08,27921,8079
CSS,2017-09,27105,7936
CSS,2017-10,33211,9865
CWeb,2017-10,1,1
CartoCSS,2017-08,53,9
CartoCSS,2017-09,51,7
CartoCSS,2017-10,29,9
Ceylon,2017-08,11,6
Ceylon,2017-09,13,5
Ceylon,2017-10,6,4
Chapel,2017-08,251,20
Chapel,2017-09,276,16
Chapel,2017-10,135,15
Cirru,2017-08,4,3
Clean,2017-08,2,1
Clean,2017-09,3,2
Clean,2017-10,2,2
Clojure,2017-08,1340,404
Clojure,2017-09,1467,448
Clojure,2017-10,1948,488
CoffeeScript,2017-08,1866,540
CoffeeScript,2017-09,1970,519
CoffeeScript,2017-10,2153,596
ColdFusion,2017-08,189,29
ColdFusion,2017-09,203,23
ColdFusion,2017-10,324,37
Common Lisp,2017-08,252,67
Common Lisp,2017-09,196,78
Common Lisp,2017-10,225,89
Component Pascal,2017-08,6,4
Component Pascal,2017-09,1,1
Component Pascal,2017-10,13,4
Cool,2017-10,1,1
Coq,2017-08,84,26
Coq,2017-09,62,31
Coq,2017-10,108,40
Crystal,2017-08,282,67
Crystal,2017-09,369,68
Crystal,2017-10,378,74
Csound Document,2017-10,1,1
Cucumber,2017-08,2,2
Cucumber,2017-09,4,3
Cuda,2017-08,54,21
Cuda,2017-09,60,29
Cuda,2017-10,72,45
D,2017-08,535,94
D,2017-09,452,86
D,2017-10,565,91
DIGITAL Command Language,2017-08,49,18
DIGITAL Command Language,2017-09,63,13
DIGITAL Command Language,2017-10,66,18
DM,2017-08,3124,234
DM,2017-09,3264,238
DM,2017-10,4024,242
DOT,2017-09,1,1
DTrace,2017-08,10,5
DTrace,2017-09,9,3
DTrace,2017-10,4,2
Dart,2017-08,777,123
Dart,2017-09,861,141
Dart,2017-10,1013,164
Delphi,2017-08,1,1
Diff,2017-08,2,2
Diff,2017-10,1,1
E,2017-09,3,1
E,2017-10,8,3
ECL,2017-08,6,2
ECL,2017-09,2,1
ECL,2017-10,1,1
EQ,2017-09,1,1
EQ,2017-10,1,1
Eagle,2017-08,167,85
Eagle,2017-09,176,63
Eagle,2017-10,105,63
Eiffel,2017-08,13,5
Eiffel,2017-09,21,6
Eiffel,2017-10,30,8
Elixir,2017-08,2472,620
Elixir,2017-09,2275,604
Elixir,2017-10,3053,673
Elm,2017-08,358,129
Elm,2017-09,314,117
Elm,2017-10,439,157
Emacs Lisp,2017-08,768,268
Emacs Lisp,2017-09,673,276
Emacs Lisp,2017-10,931,304
EmberScript,2017-08,17,3
EmberScript,2017-09,18,5
EmberScript,2017-10,41,5
Erlang,2017-08,961,238
Erlang,2017-09,806,181
Erlang,2017-10,853,202
F#,2017-08,461,103
F#,2017-09,489,107
F#,2017-10,685,126
FLUX,2017-09,1,1
FORTRAN,2017-08,18,13
FORTRAN,2017-09,16,13
FORTRAN,2017-10,33,14
Factor,2017-08,5,3
Factor,2017-09,2,1
Factor,2017-10,6,2
Forth,2017-08,9,5
Forth,2017-09,21,6
Forth,2017-10,19,7
Fortran,2017-08,546,169
Fortran,2017-09,762,183
Fortran,2017-10,660,185
FreeMarker,2017-08,211,34
FreeMarker,2017-09,186,29
FreeMarker,2017-10,194,41
GAMS,2017-08,34,4
GAMS,2017-09,1,1
GAMS,2017-10,20,2
GAP,2017-08,132,17
GAP,2017-09,139,22
GAP,2017-10,114,16
GCC Machine Description,2017-08,34,21
GCC Machine Description,2017-09,18,18
GCC Machine Description,2017-10,45,40
GDB,2017-08,2,1
GDScript,2017-08,74,30
GDScript,2017-09,34,19
GDScript,2017-10,86,34
GLSL,2017-08,77,19
GLSL,2017-09,46,19
GLSL,2017-10,70,31
Game Maker Language,2017-08,16,9
Game Maker Language,2017-09,24,10
Game Maker Language,2017-10,38,18
Genshi,2017-09,1,1
Gherkin,2017-08,260,61
Gherkin,2017-09,248,67
Gherkin,2017-10,286,78
Glyph,2017-08,1,1
Gnuplot,2017-08,38,9
Gnuplot,2017-09,33,9
Gnuplot,2017-10,51,12
Go,2017-08,29838,5224
Go,2017-09,27286,5074
Go,2017-10,31475,5824
Gosu,2017-08,68,12
Gosu,2017-09,41,11
Gosu,2017-10,43,7
Grammatical Framework,2017-08,12,6
Grammatical Framework,2017-10,3,2
Groff,2017-08,1,1
Groff,2017-09,6,6
Groff,2017-10,6,5
Groovy,2017-08,2205,536
Groovy,2017-09,2283,539
Groovy,2017-10,2542,587
HCL,2017-08,1417,288
HCL,2017-09,1416,303
HCL,2017-10,1271,329
HLSL,2017-08,10,8
HLSL,2017-09,2,1
HLSL,2017-10,41,3
HTML,2017-08,61478,15665
HTML,2017-09,59904,16312
HTML,2017-10,75314,19807
Hack,2017-08,40,9
Hack,2017-09,27,9
Hack,2017-10,34,10
Handlebars,2017-08,1,1
Harbour,2017-08,14,8
Harbour,2017-09,10,3
Harbour,2017-10,16,5
Haskell,2017-08,2198,536
Haskell,2017-09,1923,525
Haskell,2017-10,2168,569
Haxe,2017-08,191,57
Haxe,2017-09,212,63
Haxe,2017-10,308,67
Hy,2017-08,1,1
HyPhy,2017-08,5,1
HyPhy,2017-09,19,3
HyPhy,2017-10,13,1
IDL,2017-08,14,6
IDL,2017-09,22,10
IDL,2017-10,8,8
IGOR Pro,2017-08,4,2
IGOR Pro,2017-09,16,2
IGOR Pro,2017-10,4,3
Idris,2017-08,27,11
Idris,2017-09,9,5
Idris,2017-10,15,10
Inform 7,2017-08,25,5
Inform 7,2017-09,49,8
Inform 7,2017-10,76,9
Inno Setup,2017-08,12,10
Inno Setup,2017-09,5,4
Inno Setup,2017-10,17,8
Io,2017-08,5,4
Io,2017-09,1,1
Io,2017-10,3,2
Isabelle,2017-08,9,4
Isabelle,2017-09,3,1
Isabelle,2017-10,5,1
Jasmin,2017-09,1,1
Java,2017-08,75750,17303
Java,2017-09,77918,18524
Java,2017-10,105959,23788
JavaScript,2017-08,185346,35124
JavaScript,2017-09,180848,35549
JavaScript,2017-10,222862,42568
Jolie,2017-08,4,2
Julia,2017-08,2531,286
Julia,2017-09,1981,259
Julia,2017-10,1925,275
Jupyter Notebook,2017-08,3749,1288
Jupyter Notebook,2017-09,4310,1526
Jupyter Notebook,2017-10,5800,2082
KiCad,2017-08,99,55
KiCad,2017-09,16,12
KiCad,2017-10,9,9
Kotlin,2017-08,2608,617
Kotlin,2017-09,2837,636
Kotlin,2017-10,3642,884
LLVM,2017-08,32,14
LLVM,2017-09,32,17
LLVM,2017-10,86,22
LOLCODE,2017-08,1,1
LOLCODE,2017-09,5,3
LSL,2017-08,20,6
LSL,2017-09,17,5
LSL,2017-10,16,4
LabVIEW,2017-08,34,15
LabVIEW,2017-09,92,16
LabVIEW,2017-10,30,9
Lasso,2017-08,1,1
Lasso,2017-10,8,2
Lean,2017-08,11,4
Lean,2017-09,9,7
Lean,2017-10,13,7
Lex,2017-08,2,2
Lex,2017-09,7,5
Lex,2017-10,14,11
LilyPond,2017-08,7,2
LilyPond,2017-09,1,1
LilyPond,2017-10,23,5
Limbo,2017-09,2,2
Limbo,2017-10,2,2
Liquid,2017-08,118,30
Liquid,2017-09,208,35
Liquid,2017-10,141,31
LiveScript,2017-08,20,7
LiveScript,2017-09,54,16
LiveScript,2017-10,36,9
Logos,2017-08,173,31
Logos,2017-09,118,34
Logos,2017-10,135,31
Logtalk,2017-08,10,2
Logtalk,2017-09,6,2
Logtalk,2017-10,1,1
LookML,2017-08,47,6
LookML,2017-09,34,10
LookML,2017-10,47,12
LoomScript,2017-09,3,1
LoomScript,2017-10,2,1
Lua,2017-08,3336,790
Lua,2017-09,3045,729
Lua,2017-10,2884,761
M,2017-08,29,12
M,2017-09,18,9
M,2017-10,15,9
M4,2017-08,58,27
M4,2017-09,44,26
M4,2017-10,80,29
MAXScript,2017-08,20,4
MAXScript,2017-09,95,8
MAXScript,2017-10,225,10
MQL4,2017-08,1,1
MQL4,2017-09,2,2
MQL4,2017-10,2,1
MQL5,2017-09,6,3
Makefile,2017-08,2353,824
Makefile,2017-09,2275,785
Makefile,2017-10,2874,916
Mako,2017-08,7,3
Mako,2017-09,8,2
Mako,2017-10,17,6
Mask,2017-08,5,2
Mask,2017-09,5,3
Mask,2017-10,12,3
Mathematica,2017-08,181,48
Mathematica,2017-09,109,40
Mathematica,2017-10,170,39
Matlab,2017-08,914,358
Matlab,2017-09,898,370
Matlab,2017-10,1134,447
Max,2017-08,8,6
Max,2017-09,15,8
Max,2017-10,2,1
Mercury,2017-08,1,1
Mercury,2017-09,2,2
Mercury,2017-10,5,3
Meson,2017-09,1,1
Meson,2017-10,2,2
Metal,2017-08,1,1
Modelica,2017-08,92,21
Modelica,2017-09,185,26
Modelica,2017-10,299,38
Modula-2,2017-08,1,1
MoonScript,2017-08,8,6
MoonScript,2017-09,4,4
MoonScript,2017-10,22,11
NCL,2017-08,5,3
NCL,2017-09,16,3
NCL,2017-10,31,6
NSIS,2017-08,114,28
NSIS,2017-09,78,27
NSIS,2017-10,61,22
Nemerle,2017-08,1,1
NetLogo,2017-08,9,4
NetLogo,2017-09,5,4
NetLogo,2017-10,24,7
NewLisp,2017-09,3,3
NewLisp,2017-10,8,1
Nginx,2017-08,161,90
Nginx,2017-09,153,90
Nginx,2017-10,99,74
Nim,2017-08,133,34
Nim,2017-09,180,29
Nim,2017-10,190,36
Nimrod,2017-08,5,4
