column,metric,cohort,language,value
days_open_merged,mean,2017-08,1C Enterprise,5.928571428571429
days_open_merged,mean,2017-08,ABAP,0.7647058823529411
days_open_merged,mean,2017-08,AGS Script,1.25
days_open_merged,mean,2017-08,AMPL,2.1904761904761907
days_open_merged,mean,2017-08,ANTLR,0.358974358974359
days_open_merged,mean,2017-08,API Blueprint,1.5405405405405406
days_open_merged,mean,2017-08,APL,22.75
days_open_merged,mean,2017-08,ASP,1.5689655172413792
days_open_merged,mean,2017-08,ATS,
days_open_merged,mean,2017-08,ActionScript,2.3240223463687153
days_open_merged,mean,2017-08,Ada,16.428571428571427
days_open_merged,mean,2017-08,Agda,2.5
days_open_merged,mean,2017-08,Alloy,0.0
days_open_merged,mean,2017-08,AngelScript,
days_open_merged,mean,2017-08,ApacheConf,0.8554216867469879
days_open_merged,mean,2017-08,Apex,2.3360323886639676
days_open_merged,mean,2017-08,AppleScript,0.0
days_open_merged,mean,2017-08,Arc,
days_open_merged,mean,2017-08,Arduino,2.50126582278481
days_open_merged,mean,2017-08,AspectJ,25.666666666666668
days_open_merged,mean,2017-08,Assembly,6.4982456140350875
days_open_merged,mean,2017-08,Augeas,8.5
days_open_merged,mean,2017-08,AutoHotkey,6.421052631578948
days_open_merged,mean,2017-08,AutoIt,1.25
days_open_merged,mean,2017-08,Awk,0.0
days_open_merged,mean,2017-08,Ballerina,
days_open_merged,mean,2017-08,Batchfile,2.9344729344729346
days_open_merged,mean,2017-08,BitBake,4.4156626506024095
days_open_merged,mean,2017-08,BlitzBasic,
days_open_merged,mean,2017-08,Brainfuck,
days_open_merged,mean,2017-08,Brightscript,10.857142857142858
days_open_merged,mean,2017-08,Bro,0.0
days_open_merged,mean,2017-08,C,8.249494404745855
days_open_merged,mean,2017-08,C#,3.8201466127401416
days_open_merged,mean,2017-08,C++,6.594421038325632
days_open_merged,mean,2017-08,CLIPS,
days_open_merged,mean,2017-08,CMake,4.104851330203443
