language1,language2,common_actors
JavaScript,Python,1504
JavaScript,Java,1091
JavaScript,Ruby,1024
JavaScript,HTML,2994
JavaScript,PHP,905
JavaScript,C++,330
JavaScript,Go,389
JavaScript,CSS,1772
JavaScript,C#,347
JavaScript,TypeScript,860
JavaScript,C,222
JavaScript,Shell,614
JavaScript,Scala,117
JavaScript,Swift,118
JavaScript,PowerShell,49
JavaScript,Rust,70
JavaScript,Objective-C,211
JavaScript,Jupyter Notebook,83
JavaScript,Lua,33
JavaScript,DM,3
JavaScript,R,27
JavaScript,Kotlin,26
JavaScript,Vue,158
JavaScript,Julia,4
JavaScript,Elixir,61
JavaScript,Perl,44
JavaScript,Makefile,87
JavaScript,Groovy,49
JavaScript,Haskell,37
JavaScript,CoffeeScript,157
JavaScript,TeX,20
JavaScript,HCL,26
JavaScript,Clojure,37
JavaScript,OCaml,18
JavaScript,Nix,6
JavaScript,Vim script,27
JavaScript,Erlang,18
JavaScript,XSLT,25
JavaScript,Matlab,3
JavaScript,Dart,7
JavaScript,Emacs Lisp,17
JavaScript,PLpgSQL,58
JavaScript,Puppet,22
JavaScript,CMake,16
JavaScript,Smarty,20
JavaScript,Visual Basic,3
JavaScript,Fortran,5
JavaScript,D,5
JavaScript,Roff,7
JavaScript,Arduino,10
JavaScript,F#,11
JavaScript,SaltStack,11
JavaScript,Batchfile,9
JavaScript,Protocol Buffer,16
JavaScript,Elm,18
JavaScript,Assembly,5
JavaScript,Vala,4
JavaScript,Crystal,4
JavaScript,Apex,3
JavaScript,Gherkin,9
JavaScript,Common Lisp,1
JavaScript,Chapel,0
JavaScript,PureScript,8
JavaScript,ASP,8
JavaScript,Web Ontology Language,5
JavaScript,Pascal,1
JavaScript,PostScript,6
JavaScript,ActionScript,5
JavaScript,QML,7
JavaScript,FreeMarker,11
JavaScript,BitBake,2
JavaScript,SQF,1
JavaScript,PLSQL,6
JavaScript,ApacheConf,17
JavaScript,Haxe,3
JavaScript,ColdFusion,1
JavaScript,Mathematica,0
JavaScript,Logos,1
JavaScript,Perl 6,2
JavaScript,Tcl,0
JavaScript,Eagle,3
JavaScript,Smalltalk,0
JavaScript,Nginx,15
JavaScript,API Blueprint,8
JavaScript,Processing,1
JavaScript,Scheme,2
JavaScript,Nim,2
JavaScript,GAP,2
JavaScript,Racket,1
JavaScript,Liquid,6
JavaScript,NSIS,2
JavaScript,Standard ML,5
JavaScript,SourcePawn,1
JavaScript,WebAssembly,1
JavaScript,KiCad,1
JavaScript,1C Enterprise,0
JavaScript,SQLPL,6
JavaScript,Modelica,1
JavaScript,RAML,2
JavaScript,Coq,2
JavaScript,GLSL,3
JavaScript,GDScript,0
JavaScript,VimL,5
JavaScript,XQuery,1
JavaScript,Gosu,0
JavaScript,PowerBuilder,0
JavaScript,Objective-C++,2
JavaScript,VHDL,1
JavaScript,M4,1
JavaScript,Cuda,0
JavaScript,CartoCSS,2
JavaScript,Yacc,1
JavaScript,DIGITAL Command Language,0
JavaScript,LookML,0
JavaScript,SAS,0
JavaScript,Verilog,1
JavaScript,P4,0
JavaScript,RobotFramework,0
JavaScript,ANTLR,2
JavaScript,Hack,1
JavaScript,Xtend,2
JavaScript,Squirrel,1
JavaScript,ABAP,1
JavaScript,Gnuplot,0
JavaScript,Perl6,3
JavaScript,Prolog,1
JavaScript,LabVIEW,0
JavaScript,GAMS,0
JavaScript,GCC Machine Description,2
JavaScript,Ring,0
JavaScript,LLVM,0
JavaScript,SRecode Template,0
JavaScript,M,0
JavaScript,AutoHotkey,0
JavaScript,Stata,0
JavaScript,Ada,0
JavaScript,Scilab,0
JavaScript,Idris,0
JavaScript,SMT,0
JavaScript,Inform 7,0
JavaScript,OpenSCAD,0
JavaScript,AMPL,0
JavaScript,LiveScript,2
JavaScript,MAXScript,0
JavaScript,LSL,0
JavaScript,XC,0
JavaScript,ShaderLab,1
JavaScript,Pony,0
JavaScript,FORTRAN,0
JavaScript,PAWN,0
JavaScript,OpenEdge ABL,0
JavaScript,EmberScript,1
JavaScript,Rascal,0
JavaScript,Red,1
JavaScript,SystemVerilog,0
JavaScript,Smali,0
JavaScript,Game Maker Language,1
JavaScript,SuperCollider,2
JavaScript,IDL,0
JavaScript,Ragel,0
JavaScript,Harbour,1
JavaScript,QMake,0
JavaScript,UnrealScript,0
JavaScript,Eiffel,0
JavaScript,Thrift,3
JavaScript,Grammatical Framework,0
JavaScript,AGS Script,1
JavaScript,Inno Setup,2
JavaScript,Ceylon,0
JavaScript,Objective-J,0
JavaScript,Ren'Py,0
JavaScript,POV-Ray SDL,0
JavaScript,Lean,0
JavaScript,PureBasic,1
JavaScript,DTrace,0
JavaScript,Stan,0
JavaScript,HLSL,0
JavaScript,Logtalk,1
JavaScript,Forth,0
JavaScript,Isabelle,1
JavaScript,NetLogo,0
JavaScript,MoonScript,0
JavaScript,Max,0
JavaScript,AutoIt,0
JavaScript,Agda,0
JavaScript,Brightscript,0
JavaScript,Augeas,0
JavaScript,Slash,0
JavaScript,COBOL,0
JavaScript,LilyPond,0
JavaScript,Mako,0
JavaScript,Terra,0
JavaScript,Component Pascal,1
JavaScript,ooc,0
JavaScript,ECL,0
JavaScript,Io,0
JavaScript,Nimrod,0
JavaScript,Awk,0
JavaScript,Alloy,2
JavaScript,HyPhy,1
JavaScript,Mask,0
JavaScript,NCL,0
JavaScript,Factor,0
JavaScript,Jolie,0
JavaScript,Cirru,0
JavaScript,APL,0
JavaScript,IGOR Pro,0
JavaScript,AppleScript,0
JavaScript,Pan,0
JavaScript,AspectJ,1
JavaScript,Pure Data,0
JavaScript,Parrot,0
JavaScript,Cucumber,0
JavaScript,nesC,0
JavaScript,RenderScript,1
JavaScript,Lex,1
JavaScript,Clean,0
JavaScript,Diff,0
JavaScript,GDB,0
JavaScript,WebIDL,0
JavaScript,Handlebars,1
JavaScript,xBase,0
JavaScript,Delphi,0
JavaScript,eC,0
JavaScript,Volt,0
JavaScript,PicoLisp,0
JavaScript,Metal,0
JavaScript,CLIPS,0
JavaScript,Papyrus,0
JavaScript,Mercury,0
JavaScript,Xojo,0
JavaScript,Nemerle,0
JavaScript,LOLCODE,0
JavaScript,Glyph,0
JavaScript,Groff,0
JavaScript,Bro,0
JavaScript,Uno,0
JavaScript,Rebol,0
JavaScript,Modula-2,0
JavaScript,Hy,0
JavaScript,MQL4,0
JavaScript,Lasso,0
Python,Java,533
Python,Ruby,358
Python,HTML,914
Python,PHP,238
Python,C++,606
Python,Go,386
Python,CSS,465
Python,C#,106
Python,TypeScript,143
Python,C,399
Python,Shell,897
Python,Scala,72
Python,Swift,36
Python,PowerShell,27
Python,Rust,66
Python,Objective-C,39
Python,Jupyter Notebook,281
Python,Lua,31
Python,DM,1
Python,R,40
Python,Kotlin,16
Python,Vue,16
Python,Julia,24
Python,Elixir,15
Python,Perl,68
Python,Makefile,143
Python,Groovy,66
Python,Haskell,23
Python,CoffeeScript,30
Python,TeX,75
Python,HCL,37
Python,Clojure,12
Python,OCaml,14
Python,Nix,10
Python,Vim script,34
Python,Erlang,14
Python,XSLT,23
Python,Matlab,21
Python,Dart,5
Python,Emacs Lisp,12
Python,PLpgSQL,24
Python,Puppet,28
Python,CMake,55
Python,Smarty,21
Python,Visual Basic,5
Python,Fortran,14
Python,D,4
Python,Roff,5
Python,Arduino,14
Python,F#,1
Python,SaltStack,27
Python,Batchfile,15
Python,Protocol Buffer,23
Python,Elm,11
Python,Assembly,4
Python,Vala,6
Python,Crystal,1
Python,Apex,3
Python,Gherkin,10
Python,Common Lisp,2
Python,Chapel,0
Python,PureScript,3
Python,ASP,2
Python,Web Ontology Language,7
Python,Pascal,0
Python,PostScript,10
Python,ActionScript,1
Python,QML,12
Python,FreeMarker,2
Python,BitBake,11
Python,SQF,0
Python,PLSQL,3
Python,ApacheConf,7
Python,Haxe,2
Python,ColdFusion,1
Python,Mathematica,1
Python,Logos,0
Python,Perl 6,3
Python,Tcl,3
Python,Eagle,5
Python,Smalltalk,3
Python,Nginx,17
Python,API Blueprint,3
Python,Processing,2
Python,Scheme,10
Python,Nim,5
Python,GAP,2
Python,Racket,1
Python,Liquid,1
Python,NSIS,1
Python,Standard ML,5
Python,SourcePawn,0
Python,WebAssembly,0
Python,KiCad,9
Python,1C Enterprise,0
Python,SQLPL,1
Python,Modelica,1
Python,RAML,1
Python,Coq,1
Python,GLSL,1
Python,GDScript,1
Python,VimL,6
Python,XQuery,1
Python,Gosu,0
Python,PowerBuilder,0
Python,Objective-C++,1
Python,VHDL,5
Python,M4,10
Python,Cuda,5
Python,CartoCSS,2
Python,Yacc,0
Python,DIGITAL Command Language,4
Python,LookML,0
Python,SAS,0
Python,Verilog,0
Python,P4,2
Python,RobotFramework,1
Python,ANTLR,2
Python,Hack,1
Python,Xtend,0
Python,Squirrel,1
Python,ABAP,0
Python,Gnuplot,1
Python,Perl6,0
Python,Prolog,1
Python,LabVIEW,0
Python,GAMS,1
Python,GCC Machine Description,1
Python,Ring,0
Python,LLVM,0
Python,SRecode Template,0
Python,M,0
Python,AutoHotkey,0
Python,Stata,0
Python,Ada,0
Python,Scilab,0
Python,Idris,1
Python,SMT,1
Python,Inform 7,0
Python,OpenSCAD,0
Python,AMPL,1
Python,LiveScript,0
Python,MAXScript,1
Python,LSL,0
Python,XC,0
Python,ShaderLab,0
Python,Pony,0
Python,FORTRAN,2
Python,PAWN,0
Python,OpenEdge ABL,0
Python,EmberScript,2
Python,Rascal,1
Python,Red,0
